id	comment	label
204	ㅁㅊ, 이런 맛집을 지금서야 알았다니! 다들 가보셈 ㄹㅇ	1
205	뭐지? 음식나오는데 1시간...ㄹㅇ 느리네.	0
206	파스타 소스가 너무 짜서 먹기 힘들었어요. 솔직히 기대 이하였습니다.	0
207	날씨 좋은 날 테라스에서 식사하는 건 최고에요!	1
208	영업시간이랑 실제로 문 열고 있는 시간이 안 맞아서 2번이나 헛걸음 했네요 ㅡㅡ;	0
209	서빙하시는 분이 너무 불친절해서 다시 오고 싶지 않아요.	0
210	오랜만에 좋은 한식집 찾은 것 같아요. 앞으로 자주 방문할게요!	1
211	참, 여기 특색 있는 메뉴들이 많더라고요. 좋았습니다.	1
212	음... 솔직히 이 정도면 나도 집에서 만들 수 있을 듯...🙄	0
213	리뷰 다 좋아서 왔는데 ㅁㅊ... 낚였다 싶네.	0
214	ㅇㅋ, 여기는 뭐든지 맛있어. 매번 만족!	1
215	예약했는데도 자리를 기다리게 해서 불쾌했습니다.	0
216	알려지기 전에 다시 방문하고 싶네요!	1
217	서빙하시는 분이 실수로 음료를 엎어서 옷이 다 젖었어요.ㅠㅠ	0
218	솔직히 기대 안 했는데, 음식이 깜짝 놀랄 정도로 맛있었어요!	1
219	맛, 서비스, 가격 모두 만족스러웠어요!	1
220	오늘 직원분들이 ㄹㅇ 불친절했음. 뭐가 그리 바쁘다고?	0
221	가격이 너무 비싸서 다시 올 의향은 없습니다.	0
222	오랜만에 외식을 했는데, 이런 결과를 보게 될 줄은 몰랐네요. 음식도 별로고, 서비스도 매우 불친절했습니다. 다시는 오고 싶지 않아요.	0
223	완전 내 취향 아님. 비추!	0
224	대기시간 길어서 짜증났는데, 음식은 훌륭했어요!	1
225	여기 인테리어 너무 예뻐서 사진찍기 좋아요~ 사진 잘나와요 ㅋㅋ	1
226	ㄴㅇㄱ, 진짜 별로임ㅡㅡ;;	0
227	ㅇㅈ, 여기 안주와 술 조합 대박이에요!	1
228	왜 이렇게 더러운 거야? 청결 유의해주세요.	0
229	우와~ 여기 새로운 메뉴 나왔네? 맛있어 보여요ㅎㅎ	1
230	서비스는 괜찮은데, 가격이랑 맛이 아닌 듯...	0
231	비가 와도 여기 커피는 최고!	1
232	이 가격 주고 이런 맛?? ㅂㄷㅂㄷ;;	0
233	주차공간 있어서 너무 좋아요, 또 방문하려구요!	1
234	완전 별로. 리뷰보고 왔는데 황당함.	0
235	ㅎㅎ 이 가게 직원분들 너무 친절해서 기분 좋게 먹었어요!	1
236	분위기는 좋은데 음식 맛이...ㅠㅠ	0
237	메뉴판 바뀌었나? 예전 맛이 아니네요...	0
238	음식 나오는데 시간 좀 걸렸지만 맛은 최고였어요.	1
239	테이블 위에 물 흘려놓고 그대로였어요... 청결 좀..	0
240	친구 소개로 왔는데, 정말 괜찮았어요!	1
241	ㅋㅋ 여기 디저트 너무 달아요. 아쉬웠어요.	0
242	난 이런 곳이 좋더라. 소소하게 맛있고.	1
243	와 진짜? 이런 곳에서 이런 경험을 할 줄이야.. 다신 안 올 거에요.	0
244	진짜 최고!! 여기만한 곳 없어요❤️	1
245	음... 리뷰보고 기대했는데, 그냥 그래요.	0
246	주방에서 무슨 소리가 계속 나던데 조금 시끄러웠어요.	0
247	서비스 개선 좀 해주세요. 직원들 태도에 좀 놀랐네요.	0
248	치킨 진짜 부드럽고 맛있어요. 또 시켜 먹을거에요!ㅋㅋㅋ	1
249	너무 실망이에요. 여기 리뷰 좋아서 왔는데 음식도 늦게 나오고, 서비스도 별로더라고요. 전 다신 안 올 것 같아요.	0
250	오늘 먹은 스테이크 중 최고!	1
251	웨이터분들 태도가 너무 불친절해요. 다른 곳에서 먹을 걸 그랬나봐요. 음식도 그다지...	0
252	분위기, 맛, 서비스 모두 훌륭해요! 다만, 주차공간이 좀 협소해요ㅠㅠ	1
253	햄버거 bun이 너무 퍽퍽함.	0
254	전 여기 팬케이크가 진짜 맛있더라고요! 부드럽고, 메이플 시럽이 딱!	1
255	리뷰 보고 왔는데, 왜 이렇게 평이 좋은지 모르겠어요. 저는 별로였습니다.	0
256	냉면 국물이 아주 시원하고 맛있었어요! 여름에 와서 먹으면 좋을 것 같아요.	1
257	여긴 왜 이렇게 사람이 많아요? 대기 시간 너무 길어요...	0
258	닭갈비 매콤하고 양도 푸짐해요! 여기 오면 항상 주문하는 메뉴에요.	1
259	와, 여기 새로 생긴 메뉴 진짜 대박이에요!! 가격도 괜찮고 맛도 좋아요!	1
260	음료는 좋은데, 디저트가 너무 달아서 별로였어요.	0
261	음... 여기 리뷰 왜 이래? 전 다시는 안 올 거 같아요.	0
262	직원들이 너무 친절해서 기분 좋게 먹고 왔습니다.	1
263	마지막 방문 후로 퀄리티가 많이 떨어진 것 같아요. 아쉬워요.	0
264	와! 진짜 너무 맛있어요! 또 올게요!!	1
265	테이블 정리가 안 되어 있어서 조금 기다렸어요. 그래도 음식은 맛있었습니다.	1
266	너무 시끄러워서 밥 먹는데 집중이 안 됐어요.	0
267	주문한 음식 나오는 데 1시간 걸렸어요. 이해가 안 가네요.	0
268	요즘 여기가 제 인생 맛집이에요!	1
269	먹다 남긴 음식까지 포장해 주셔서 감사했습니다.	1
270	와 진짜 무슨 맛이 이래... 절대 안 오세요.	0
271	파스타가 살짝 덜 익었던 거 같아요. 그래도 소스는 괜찮았습니다.	1
272	내 돈 주고 먹기엔 너무 아까웠어요.	0
273	저번에 왔을 때보다 서비스가 향상된 거 같아요! 계속 이렇게 유지해 주세요.	1
274	여긴 언제 와도 만족해요! 오늘도 최고였어요.	1
275	이런.. 주문 잘못 가져와서 다시 기다렸어요.	0
276	소스가 좀 짜긴한데 고기는 부드럽고 좋아요~! 물 좀 더 주셨으면...	1
277	이 가격에 이 퀄리티? 진짜 대박이다... 추천합니다!!!	1
278	직원분이 주문을 잘못 받아와서 황당했는데, 바로 수정해 주셔서 감사해요!	1
279	여긴 왜 이렇게 사람이 많은지 모르겠네요... 전 별로였어요. ㅠㅠ	0
280	전 좀 매웠는데 친구는 딱 좋다고 하더라고요. 맵기 조절 가능하면 좋을 것 같아요.	0
281	가게 안이 너무 어두워서 메뉴판 보기 힘들었어요. 조명 좀 밝게 해주세요!	0
282	진짜 여기 짜장면 대박... 근데 짬뽕은 그냥 그래요 ㅋㅋ	1
283	와... 생각보다 맛있네?!? 대 pleasantly surprised!!	1
284	음식은 그럭저럭인데 화장실 청결 상태가 안 좋더라고요... 주의하세요.	0
285	포장할 때 누락된 게 있어서 짜증났어요. 확인 잘 해주세요!	0
286	여기 애프터눈 티세트? 진짜 대박입니다. 데이트하기 좋아요!	1
287	음료는 별로였지만 디저트는 괜찮았어요!	1
288	음식 나올 때까지 기다리는 시간이 너무 길어요. 개선 필요!	0
289	너무 시끄러워서 이야기하기 힘들었네요. 다음에는 조용한 곳으로 부탁드려요.	0
290	볶음밥 진짜 최고! 여긴 볶음밥 파는 곳이지, 안 그래요?ㅋㅋ	1
291	음식 사진 찍기 좋아요. 인스타에 올릴 만해요!	1
292	이런... 예약했는데 자리가 없다니요? 전 다신 안 올 거에요.	0
293	맛은 있어요, 근데 가격이 좀... 아니죠?	0
294	피자 반죽이 너무 특이해서 별로였어요. 소스는 괜찮았는데.	0
295	다 좋은데, 음악 볼륨만 좀 낮추면 완벽할 것 같아요!	1
296	와우! 여기 라떼아트 진짜 예술이네요. 인스타갬성!!	1
297	처음 와봤는데, 여기 분위기도 좋고 음식도 맛있어요. 좋은 경험이었어요!	1
298	음... 여기 리뷰 왜 이래? 사진으로 봤을 때랑 너무 다르네요.	0
299	직원들이 너무 친절해서 기분 좋게 먹고 왔습니다. 굿굿!	1
300	제 입맛엔 안 맞았어요. 다른 분들은 괜찮았을지 모르겠지만...	0
