id	comment	reply
72	직원분이 계산할때 잘못해서 더 내라고 함. 나중에 환불해줬지만 기분이 좀 그랬어	의견 감사합니다.
73	음료가 너무 진해서 물을 따로 달라고 했어요.	의견 감사합니다.
74	분위기 좋고 직원들도 친절한데 음식 맛이 좀...?	의견 감사합니다.
75	전체적으로는 좋은데 소리가 너무 크게 나와서 대화하기 힘들었어요.	의견 감사합니다.
76	주방에서 뭔가 큰 소리가 나서 좀 놀랐어요. 조금 무서웠습니다.	의견 감사합니다.
77	이렇게 맛있는 집 처음이에요ㅠㅠ ❤️👍	의견 감사합니다.
78	가격대비 양이너무적어요; 피자는맛있었는데	의견 감사합니다.
79	서비스가 좋긴한데 음식이 나에게는 안 맞았어.	의견 감사합니다.
80	어머니랑 와서 먹었는데 둘 다 만족했어요!	의견 감사합니다.
81	음식이 너무 짜서 다른 음식점이랑 비교했을 때 별로였어요.	의견 감사합니다.
82	정말 전통의 맛을 잘 지키는 곳이에요. 추억의 맛.	의견 감사합니다.
83	실내 온도가 너무 높아서 더웠어요. 에어컨 좀 틀어주세요.	의견 감사합니다.
84	다른 지점보다 서비스가 좋아요. 여기 직원들이 친절해요.	의견 감사합니다.
85	음식점 위치가 좀 애매해서 찾기 힘들었어요.	의견 감사합니다.
86	완전 대박...! 이런 맛은 처음이야 ㅋㅋ	의견 감사합니다.
87	음식이 맛있긴한데 가격대비 양이 너무 적어서 별로였음.	의견 감사합니다.
88	다른 지점보다 서비스가 좋아요. 여기 직원들이 친절해요.	의견 감사합니다.
89	음식은 괜찮았는데 뒷편에서 뭔가 큰소리가 나서 식사하는데 불편했어요.	의견 감사합니다.
90	메뉴판에 있는 사진과 너무 다르게 나와서 기분이 안 좋았습니다.	의견 감사합니다.
91	음식 나오는 데 너무 오래 걸려서 기다리기 지루했어요.	의견 감사합니다.
92	너무나도 맛있었어요. 이전에 갔던 다른 곳과는 비교도 안 됩니다!	의견 감사합니다.
93	친구 추천으로 왔는데, 후회 없는 선택이었어요.	의견 감사합니다.
94	여기 진짜 맛집이네요! 서비스도 좋아요.	의견 감사합니다.
95	예약했는데도 기다리게 해서 기분이 좋진 않았어요.	의견 감사합니다.
96	가성비 최고! 이 가격에 이런 맛은 정말 만족스러워요.	의견 감사합니다.
97	와... 여기김치... 말도안됨... ㅁㅊ...	의견 감사합니다.
98	주문한 지 40분 넘게 기다려서 음식 나왔네요...	의견 감사합니다.
99	아이들이랑 왔는데, 키즈 메뉴도 생각보다 맛있었어요!	의견 감사합니다.
100	오랜만에 외식을 했는데, 이런 결과를 보게 될 줄은 몰랐네요. 음식도 별로고, 서비스도 매우 불친절했습니다. 다시는 오고 싶지 않아요.	의견 감사합니다.
