id	comment	reply
26	외관은 그냥 그랬는데, 내부가 너무 아늑하고 좋았습니다.	좋은 평가 감사드립니다. 편안한 분위기에서 식사하실 수 있도록 더욱 노력하겠습니다.
27	사진보다 음식 portion이 좀 작은 거 아닌가요? 😐	피드백 주셔서 감사합니다. 포션에 대한 고려를 더 하도록 하겠습니다.
28	ㅁㅊ! 여기 왜 이제야 알게됐지? 대박 맛집이네!	너무 감사합니다! 항상 최고의 맛을 제공하기 위해 노력하겠습니다.
29	이게 뭐야? ㅁㅊ라고 이렇게 매운 거라도 미리 얘기 좀 해줘야지. 입 안에서 불 키는 줄...	매운 맛에 대해 미리 알려드리지 못해 죄송합니다. 정보 제공을 더욱 철저히 하겠습니다.
30	OMG! 이런 맛집을 지금서야 발견하다니ㅋㅋ 대박❤️	감사합니다! 더 많은 분들께 좋은 맛을 전달하고 싶어요.
31	전체적으로 괜찮았지만, 음악 소리가 너무 커서 조금 시끄러웠습니다.	소리에 대한 피드백 감사합니다. 더 조용하고 편안한 환경을 제공하기 위해 노력하겠습니다.
32	진짜 미친듯이 맛있어서 놀랐네요. ㄷㄷ... 여기는 천국이냐?	너무 감사합니다! 최고의 맛과 서비스로 계속해서 여러분을 만나고 싶어요.
33	이전에 왔을 때보다 서비스가 많이 떨어진 것 같아요.	이전의 좋은 경험을 못 따라주어서 죄송합니다. 서비스 향상을 위해 노력하겠습니다.
34	이렇게 좋은 곳이 있었는데, 왜 이제야 알았을까요? 다들 방문해보세요!	감사합니다! 더 많은 분들과 함께하는 그 날까지 노력하겠습니다.
35	방문하려고 했는데, 문을 닫았더라고요. 영업 시간을 좀 더 정확히 표시해주셨으면 좋겠어요.	영업 시간에 대한 불편을 드려서 죄송합니다. 정보의 정확성을 위해 노력하겠습니다.
36	가격 대비 음식의 양이 너무 적었어요.	음식 양에 대한 의견 감사합니다. 고객님들께 더 만족스러운 양을 제공하기 위해 고민하겠습니다.
37	음식이 너무 짜서 물을 계속 마셨습니다.	짠 맛에 대해 불편을 드려 죄송합니다. 맛의 균형을 위한 노력을 계속하겠습니다.
38	솔직히 맛은 그냥 그랬어요. 하지만 분위기는 좋았습니다.	맛과 분위기에 대한 피드백 감사합니다. 두 가지 모두 만족하실 수 있도록 노력하겠습니다.
39	요기 돈까스 진짜 맛있어요. 돈까스 좋아하시는 분들 꼭 와보세요!	돈까스를 좋아해주셔서 감사합니다! 앞으로도 기대에 부응하도록 노력하겠습니다.
40	처음 와봤는데, 분위기도 좋고 음식도 만족스러워서 잘 먹었어요.	첫 방문에 만족하셨다니 기뻐요. 다음 방문을 기다리고 있을게요.
41	여기는 꼭 한 번 방문해봐야 해요! 너무 만족했습니다.	정말 감사합니다! 다음 방문을 기다리겠습니다. 😊
42	우리 아들이랑 왔는데, 아이 메뉴도 좋더라고요.	아이들도 좋아하는 메뉴를 준비하려 노력하고 있습니다. 다음에도 꼭 방문해주세요!
43	아니, 메뉴 주문한지 40분 넘었는데 안 나와요?	죄송합니다. 주문하신 메뉴 확인 후 빠르게 처리하겠습니다.
44	전 직원분들의 친절함에 감동 받았습니다. 음식도 무척 훌륭했어요.	친절한 서비스와 훌륭한 음식을 제공하려 노력하고 있습니다. 감사합니다!
45	청결도가 좀... 특히 화장실이 좀... ㅠㅠ	청결 관리에 더욱 신경 쓰겠습니다. 소중한 의견 감사드립니다.
46	괜찮았어요.	감사합니다! 기대 이상의 만족을 드리기 위해 더 노력하겠습니다.
47	처음 와보는데, 전통과 현대가 조화로운 곳이네요. 다음에 또 방문하려고요.	전통과 현대의 조화를 추구하고 있습니다. 다음 방문을 기대하겠습니다!
48	직원들이 너무 친절해서 기분 좋게 식사했습니다. 감사합니다.	친절한 서비스가 고객님의 기분을 좋게 해드렸다니 기쁩니다. 감사합니다.
49	직원들의 태도가 너무 불친절해서 기분이 안 좋았어요.	불편을 끼쳐드려 죄송합니다. 직원 교육을 더 철저히 진행하겠습니다.
50	주차공간이 너무 협소해서 불편했습니다.	주차 문제에 대한 피드백 감사합니다. 개선 방안을 모색하겠습니다.
51	좀 너무 기대하고 왔나봐요... 뭐 이런 것도 있지 뭐 😑	기대에 부응하지 못해 죄송합니다. 서비스 향상을 위해 노력하겠습니다.
52	최악의 응대... 여기 다시는 안 갈래요. 😡	정말 죄송합니다. 이런 불편한 경험을 겪게 해드려서...
53	진짜 대박! 여기 인테리어 너무 이쁘고, 음식도 인스타갬성 폭발!	감사합니다! 인스타 갬성 폭발하는 음식과 인테리어를 자랑하고 있습니다.
54	불친절해서 기분 나빴어. 주문하려는데 계속 대화하고 있더라구요.	불편을 드려 죄송합니다. 직원들의 대화 태도에 대해 재교육하겠습니다.
55	바다가 보이는 자리에서 식사하는 게 정말 로맨틱했어요. 분위기 최고에요!	바다가 보이는 자리에서의 식사는 정말 로맨틱하죠? 다음에도 방문 부탁드립니다.
56	식사 중에 바퀴벌레가 나와서 기분이 엄청 나빴습니다.	죄송합니다. 위생관리를 더 철저히 하겠습니다.
57	나중에 가게 될 걸 알았으면 아예 안 올 걸 그랬네. 재료가 신선하지 않아 보였어요.	재료의 신선함은 우리의 자랑입니다. 신선하지 않게 느끼셨다면 대단히 죄송합니다.
58	처음부터 끝까지 서비스가 너무 좋았습니다. 직원들도 친절하시고, 음식은 말할 것도 없이 너무 맛있었어요. 특히 메인디쉬는 인상 깊었네요.	상세한 피드백 감사합니다! 항상 최선을 다하겠습니다.
59	나한테는 좀 너무 달았어.	맛의 선호도는 개인마다 다르죠. 의견 감사드립니다.
60	친구 추천으로 왔는데, 정말 잘 선택한 것 같아요. 👏	친구의 추천이 만족스러웠다니 기쁩니다. 다음에도 방문 부탁드립니다!
61	직원분이 계속 쳐다보면서 서비스 해주셔서 좀 불편했어요. 알바생 훈련이 필요해보여요.	불편하게 느끼셨다면 정말 죄송합니다. 서비스에 대한 교육을 강화하겠습니다.
62	ㄱㅊ... 특별히 기대 안 했는데 꽤 괜찮았어.	만족하셨다니 기쁩니다! 다음에도 방문해주세요.
63	전통적인 맛 그대로, 우리 할머니 생각나게 하는 음식이었습니다. 감사합니다.	전통적인 맛을 지키려 노력하고 있습니다. 감사합니다!
64	단체로 왔는데, 모두다 만족하며 나갔어요.	단체로의 방문도 만족스러우셨다니 다행입니다. 감사합니다!
65	그냥 그랬다.	더 나은 서비스를 위해 노력하겠습니다. 의견 감사드립니다.
66	인테리어가 너무 이쁘더라고요. 사진 찍기 좋아요!	인테리어도 많은 신경을 쓰고 있습니다. 다음에도 사진 많이 찍어가세요!
67	전 주차 때문에 여기 올 거면 차 대지 말라고 하고 싶네요. 주차장이 너무 협소하더라고요...	주차 문제로 불편을 드려 죄송합니다. 개선 방안을 찾아보겠습니다.
68	옛날 할머니집에서 먹던 그 맛이 났어요. 너무 행복한 식사였습니다.	옛날의 추억을 떠올리게 해드렸다니 감사합니다. 항상 그 맛을 유지하겠습니다.
69	ㄴㅇㄱ... 여기서 이런 일을 겪을 줄이야...	불편한 경험을 드려 죄송합니다. 문제점을 파악하여 개선하겠습니다.
70	저녁 데이트로 딱 좋은 곳이네요! 분위기도 좋고, 음식도 훌륭해요.	저녁 데이트에 만족하셨다니 기쁩니다. 다음에도 기대해주세요!
71	한국 전통 음식을 찾으시는 분들에게 추천합니다! 정감있고 맛도 좋아요.	한국 전통 음식의 맛을 지키려 노력하고 있습니다. 감사합니다!
72	젊은 사람들이 좋아할만한 분위기에다가, 메뉴 구성도 신선하네요! 잘 먹었습니다!	젊은 사람들의 입맛도 만족시키려 노력하고 있습니다. 감사합니다!
73	이렇게 많은 사람들이 찾는 이유가 있었네요. 각종 리뷰와 추천에도 불구하고 직접 방문해서 먹어봐야 알 수 있는 맛이 있더라구요. 저는 특히 디저트가 인상적이었습니다.	소중한 리뷰 감사드립니다! 다양한 맛과 경험을 제공하려 노력하고 있습니다. 특히 디저트를 좋아하셨다니 기쁩니다. 다음 방문을 기대합니다!
74	와... 대기시간 너무 길어서 기다리다 짜증났음...	기다리시는 불편함을 드려 죄송합니다. 서비스를 더욱 향상시키기 위해 노력하겠습니다.
75	ㅋㅋ 이거 뭐임? 실화냐? 왜 이렇게 맛없냐ㅠㅠ	맛에 대한 기대치를 충족시키지 못해 정말 죄송합니다. 고객님의 피드백을 반영하여 더욱 개선하겠습니다.
76	오랜만에 괜춘한 곳 찾았네요. 친구들한테 소개해줄듯.	좋은 리뷰 감사합니다! 친구들에게도 추천해주신다니 기쁩니다. 더욱 좋은 서비스로 보답하겠습니다.
77	분위기도 좋고 직원분들도 너무 친절해서 기분 좋게 식사했어요.	기분 좋은 식사 경험을 제공해 드렸다니 기쁩니다. 친절한 서비스와 편안한 분위기로 고객님을 맞이하겠습니다.
78	우리 집에서 가까워서 좋아요. 자주 이용할 것 같아요!	근처에 계신다니 다행입니다! 앞으로도 자주 방문해주시길 기대합니다.
79	야외 테라스 자리가 있어서 좋았어요. 풍경 보면서 식사하는 거 좋아하시는 분들 추천!	야외 테라스 자리에서의 식사를 좋아하시다니 다행입니다. 앞으로도 멋진 풍경과 함께 맛있는 식사를 제공하겠습니다.
80	이 가격에 이런 음식? 다시는 안 올 것 같아요.	가격과 음식에 대한 기대치를 충족시키지 못해 죄송합니다. 계속해서 질 좋은 음식과 서비스를 제공하려 노력하겠습니다.
81	와... 여기 진짜 꿀맛이네요!	좋아하셨다니 감사합니다! 앞으로도 꿀맛 음식을 제공하겠습니다.
82	30분 기다려서 받은 음식이 이거라니... 최악의 경험!!	대기 시간 후의 불만족스러운 경험을 드려 죄송합니다. 서비스 향상을 위해 더욱 노력하겠습니다.
83	여기 스파게티 맛집인듯. 국물 스파는 ㄹㅇ 최고.	스파게티를 좋아하셨다니 기쁩니다! 국물 스파의 맛을 앞으로도 유지하겠습니다.
84	직원들 태도가 좀 불친절해요. 다음엔 다른 곳을 찾아볼게요.	직원들의 태도에 대해 불편을 드려 죄송합니다. 직원 교육을 더 철저히 진행하겠습니다.
85	처음 방문했을 때부터 이번 방문까지, 항상 만족스럽게 먹고 가는 곳입니다. 이곳의 메뉴들은 언제 먹어도 질리지 않고, 새로운 맛을 제공해줘요.	재방문하셨다니 감사합니다! 계속해서 새로운 맛과 경험을 제공하려 노력하겠습니다.
86	깔끔한 내부와 아늑한 분위기, 이런 곳 찾았습니다!	내부와 분위기를 좋아하셨다니 감사합니다. 편안한 시간을 보내실 수 있도록 노력하겠습니다.
87	가격이 좀 비싼 편인데, 그만큼의 가치가 있어요.	가격에 만족하셨다니 감사합니다. 최고의 품질로 가치를 제공하려 노력하겠습니다.
88	메뉴 선택의 폭이 넓어서 좋았어요. 여러 가지 시도해볼 수 있어서 좋았습니다.	메뉴 선택의 폭을 넓게 제공하려 노력하고 있습니다. 다양한 음식을 즐겨주셔서 감사합니다.
89	계산할 때 추가 비용이 생겨서 불쾌했어요.	계산에 관한 불편을 드려 죄송합니다. 더욱 명확하게 가격 정보를 제공하겠습니다.
90	여기 팔은 디저트가 정말 맛있어요. 추천합니다!	디저트를 추천해주셔서 감사합니다! 앞으로도 맛있는 디저트를 준비하겠습니다.
91	별로에요.	죄송합니다. 고객님의 기대를 충족시키지 못해 정말 유감입니다. 어떤 부분이 불만족스러웠는지 알려주시면 개선하기 위해 노력하겠습니다.
92	포장해 갔는데 집에서 먹어보니 맛있더라고요!	집에서도 만족하셨다니 기쁩니다! 다음에도 포장 주문 시 맛있게 드실 수 있도록 최선을 다하겠습니다.
93	주차장이 협소해서 차 대기하는데 오래 걸렸어요.	주차장 이용에 불편을 드려 죄송합니다. 주차 문제에 대한 개선 방안을 모색하겠습니다.
94	요즘 핫한 곳이라길래 갔는데, 그냥 그랬어요. 이전에 갔던 다른 식당이 더 나았던 것 같아요.	핫플레이스에 걸맞게 만족하실 수 있도록 노력하겠습니다. 소중한 의견 감사드립니다.
95	친구 추천으로 왔는데, 나도 추천하고 가요!	친구의 추천으로 오셨다니 감사합니다! 좋은 추억을 만들어 드렸다니 기쁩니다.
96	소문나서 왔는데, 기대 이하였어요.	기대 이하의 경험을 드려 죄송합니다. 서비스와 음식 품질 개선을 위해 노력하겠습니다.
97	우와.. 여기 스테이크는 정말 실력 있게 만드네요. 육질이 부드럽고, 소스의 균형이 완벽해요.👍🥩	스테이크에 대한 칭찬 감사드립니다! 항상 고급 육질과 소스의 균형을 위해 노력하겠습니다.
98	그냥 그랬어요. 별로 큰 인상은 없네요.	더 좋은 인상을 주기 위해 더욱 노력하겠습니다. 소중한 피드백 감사드립니다.
99	여기 스테이크는 정말 최고예요! 반드시 다시 올 것 같아요!	스테이크를 좋아하셨다니 감사합니다! 다음 방문을 기대합니다.
100	와~ 여기 분위기 너무 좋아요! 데이트하기 딱 좋은 곳!	데이트하기 좋은 분위기를 제공해 드렸다니 기쁩니다. 앞으로도 좋은 시간 보내실 수 있도록 노력하겠습니다.
101	요기 진짜 ㄹㅇ 맛있어요! 다음에 또 올래요.	맛있게 드셨다니 기쁩니다! 앞으로도 기대 이상의 맛을 제공하겠습니다.
102	이전에는 맛있었는데, 이번엔 좀 별로였어요.	이전의 맛을 유지하려 노력하겠습니다. 피드백 감사드립니다.
103	오랜만에 여길 찾았는데, 아직도 그 맛 그대로네요.	예전의 맛을 그대로 유지하려 노력하고 있습니다. 다음 방문에서도 만족하실 수 있도록 노력하겠습니다.
104	음식이 너무 기름져서 별로였어요.	기름진 음식에 대한 피드백 감사드립니다. 조리 방법을 개선하여 더 건강한 음식을 제공하겠습니다.
105	세대차이가 확실히 느껴지는 곳. 2030들은 좋아할 거 같아요. 매장 음악도 트렌디하더라고요ㅋㅋ	세대 간의 취향을 반영하려 노력하고 있습니다. 트렌디한 매장 분위기를 좋아하셨다니 기쁩니다!
106	가격 대비 맛이 너무 떨어져요.	가격 대비 맛에 대한 피드백 감사드립니다. 더욱 향상된 품질로 보답하겠습니다.
107	음식이 너무 늦게 나와 기다리는 내내 기분이 안 좋았습니다.	음식 대기 시간에 대해 죄송합니다. 빠른 서비스를 위한 개선 방안을 찾겠습니다.
108	음... 나쁘진 않았지만, 특별히 좋지도 않았어요. 중간이라고 해야하나...	중간의 만족도에 머무르지 않고, 더욱 향상된 서비스를 제공하기 위해 노력하겠습니다.
109	직원 태도나 서비스는 좋은데, 음식이 내 기대 이하였습니다.	직원 태도와 서비스에 만족하셨다니 감사합니다. 음식의 품질에 대해서는 더욱 노력하겠습니다.
110	데이트하기 좋은 곳이라 친구가 추천해줬어. 정말 만족스러웠음!	데이트하기 좋은 분위기를 제공해 드렸다니 기쁩니다! 다음 방문에서도 만족하실 수 있도록 노력하겠습니다.
111	그냥저냥? 뭐 크게 나쁘진 않았지만... 😐	그냥저냥이라고 느끼게 해드려 죄송합니다. 더 나은 경험을 제공하도록 노력하겠습니다.
112	아이들이랑 오기 딱 좋아요! 공간도 넓고 메뉴도 다양하고! 😊	아이들과 편안하게 이용하실 수 있게끔 공간과 메뉴를 준비하였습니다. 만족하셨다니 기쁩니다!
113	포장도 꼼꼼하게 해주셔서 감사했어요.	포장 서비스에 만족하셨다니 감사합니다. 항상 꼼꼼하게 준비하도록 하겠습니다.
114	바쁜 시간대라 그런지 서비스가 너무 느렸습니다.	바쁜 시간대의 서비스 지연에 대해 죄송합니다. 더욱 원활한 서비스를 위해 개선하겠습니다.
115	메뉴 설명도 잘 해주시고, 맛도 훌륭했어요.	메뉴 설명과 맛에 만족하셨다니 감사합니다! 앞으로도 최선을 다하겠습니다.
116	디저트 종류가 많아서 좋았어요. 특히 타르트 짱!	디저트에 만족하셨다니 기쁩니다! 타르트는 계속해서 인기 메뉴로 유지될 예정입니다.
117	진짜 숨겨진 맛집! 여기 왜 이제야 알았을까요?	숨겨진 맛집이라는 칭찬 감사합니다! 더 많은 분들께 알려져 더 많은 사람들이 찾아주셨으면 좋겠습니다.
118	서비스 개노답... ㅂㅅ 같은 곳 다신 안 옴.	서비스에 대한 불만을 드려 죄송합니다. 피드백을 바탕으로 서비스 개선에 힘쓰겠습니다.
119	주문한지 1시간 넘게 기다려서 화가 났어요! ㅡㅡ	주문 대기 시간이 길었다는 점, 진심으로 죄송합니다. 보다 효율적인 서비스로 개선하겠습니다.
120	ㅈㄴ 노맛. 여기 다신 안 올 듯.	음식의 맛에 만족하지 못하셨다면 정말 유감입니다. 맛의 향상을 위해 노력하겠습니다.
121	소문대로네요. 이런 맛집을 찾는 게 힘들어서 다행이에요!	소문대로의 만족을 드렸다니 감사합니다! 계속해서 기대 이상의 서비스를 제공하겠습니다.
122	주문한 음식과 달라서 불편했어요.	주문한 음식과 다르게 제공된 점 죄송합니다. 주문 정확성을 위해 더욱 주의하겠습니다.
123	우와 이런 데가 우리 동네에도 있다니! 가격도 착하고, 음식도 굿굿! ㅋㅋㅋ	동네에서 만족스러운 경험을 하셨다니 기쁩니다! 앞으로도 좋은 음식과 서비스로 보답하겠습니다.
124	정말 맛있어요!	만족하셨다니 감사합니다! 계속해서 좋은 음식을 제공하겠습니다.
125	여기 피자는 다른 곳과는 다른 맛이에요. 꼭 한번 드셔보세요!	피자에 대한 칭찬 감사합니다! 많은 분들께 추천해 주세요.
126	음식이 너무 짜지 않게 조절해 주셨으면 좋겠어요.	음식의 짜게 느껴지는 맛에 대해 죄송합니다. 조미료 조절에 더욱 신경쓰겠습니다.
127	ㄴㅇㄱ. 여기는 진짜 최고네요! 다들 한번쯤 방문해보세요.	최고의 칭찬 감사합니다! 앞으로도 더 많은 손님들께 만족을 드리겠습니다.
128	아빠랑 오랜만에 외식했는데, 여기 선택한 건 후회가 없네요!	아빠와 좋은 시간 보내셨다니 기쁩니다! 항상 좋은 추억을 만들 수 있도록 노력하겠습니다.
129	메뉴가 그렇게 다양하지는 않지만, 맛은 있어서 만족합니다.	메뉴 다양성에 대한 의견 감사합니다. 계속해서 맛있는 음식을 제공하기 위해 노력하겠습니다.
130	저는 개인적으로 여기 음식이 좋았어요. 다만, 직원 서비스는 좀 아쉬웠습니다.	음식에는 만족하셨으나 서비스에 대한 아쉬움을 드려 죄송합니다. 서비스 개선에 힘쓰겠습니다.
131	코로나 때문에 걱정했는데, 위생 관리가 잘 되어있더라고요.	코로나로 인한 위생 관리에 특히 주의하고 있습니다. 안전하게 이용하실 수 있도록 계속 노력하겠습니다.
132	친절한 서비스와 맛있는 음식, 두 마리 토끼를 다 잡은 곳!	친절과 맛, 두 가지 모두 만족하셨다니 감사합니다! 앞으로도 최선을 다하겠습니다.
133	음료가 너무 달아서 다 마시지 못했어요.	음료의 단맛에 대한 피드백 감사합니다. 당도 조절에 더 신경쓰겠습니다.
134	솔직히 오늘따라 서비스가 너무 느렸어요. 뭐지? 😒	서비스 지연에 대해 죄송합니다. 원활한 서비스 제공을 위한 개선 방안을 모색하겠습니다.
135	여기 짬뽕 정말 맛있어요! 중화요리 좋아하시는 분들 꼭 와보세요.	짬뽕에 대한 칭찬 감사합니다! 중화요리를 좋아하시는 분들께 추천 부탁드립니다.
136	뷰는 좋았지만 음식은 그냥 그랬어요.	뷰에 만족하셨으나 음식에 대한 의견 감사합니다. 음식의 품질을 더욱 향상시키겠습니다.
137	남자친구와 기념일에 왔는데, 분위기와 음식 모두 최상급이었어요!	기념일에 좋은 경험을 드렸다니 감사합니다! 앞으로도 특별한 날에 방문하실 때 만족하실 수 있도록 노력하겠습니다.
138	주문한 메뉴가 다 나오지 않아서 황당했습니다.	죄송합니다. 주문 확인 과정에서의 실수가 있었던 것 같습니다. 향후 이러한 문제가 발생하지 않도록 주의하겠습니다. 다시 한번 불편을 끼쳐 드려서 죄송합니다.
139	고기 질이 좀... 아쉬웠어요.	고기의 질에 대한 피드백 감사합니다. 더 좋은 고기를 제공하기 위해 노력하겠습니다.
140	이런 맛을 찾아 헤매던 중에 드디어 발견한 곳이에요!	원하던 맛을 찾으셨다니 기쁩니다! 앞으로도 만족하실 수 있도록 노력하겠습니다.
141	음식이 식어서 나왔어요. 더 신경 써야할 것 같아요.	음식이 식어서 나왔다니 죄송합니다. 향후 주의하겠습니다.
142	한참을 기다렸는데, 음식이 그다지... 별로였습니다.	기다리시는 시간 동안 기대 이하의 음식을 제공해드려서 죄송합니다. 향상된 맛과 서비스로 보답하겠습니다.
143	저번에 갔을 때보다 맛이 좀 떨어진 것 같아요.	저번 방문 때의 맛을 지키지 못한 점 죄송합니다. 지속적인 퀄리티 유지에 더욱 힘쓰겠습니다.
144	너무 맛있어서 가족들한테 추천하려고요! 👍	감사합니다! 가족분들에게도 만족하실 수 있도록 노력하겠습니다.
145	음식도 늦게 나오고, 직원들 태도도 별로였습니다.	음식과 서비스에 대한 불만을 드린 점 진심으로 사과드립니다. 개선하겠습니다.
146	음식은 그저 그랬지만, 디저트는 정말 맛있었어요!	디저트에 만족하셨다니 기쁩니다. 메인 메뉴도 만족하실 수 있도록 노력하겠습니다.
147	ㅋㅋ 여긴 왜 이렇게 사람 많은지 알겠다. 서비스도 굳!	감사합니다! 앞으로도 좋은 서비스로 보답하겠습니다.
148	전통적인 김치찌개 맛을 찾는다면 이곳이 딱! 어머니 손맛 같아서 너무 좋았어요.	어머니 손맛 같은 김치찌개, 그런 말씀 해주셔서 감사합니다!
149	요기 진짜 ㄹㅇ 맛있음. 다들 꼭 가보세용.	감사합니다! 앞으로도 맛있는 음식으로 기대에 부응하겠습니다.
150	다른 분들은 괜찮다고 하는데, 제 입맛엔 안 맞았어요.	개인의 입맛은 모두 다르니, 다른 메뉴도 한번 시도해보시면 좋을 것 같아요. 의견 감사합니다.
151	우리 아버지가 매우 만족하셨습니다. 오랜만에 좋은 한식을 먹은 것 같아요.	아버지께서 만족하셨다니 기쁩니다! 앞으로도 좋은 한식 제공하겠습니다.
152	할아버지가 이런 곳을 좋아하실 줄은 몰랐네요! 좋아하셨어요.	할아버지께서 좋아하셨다니 영광입니다! 다음 방문 때도 만족하실 수 있도록 노력하겠습니다.
153	제 취향은 아니던데, 아내는 좋아하더라구요.	아내분께서 만족하셨다니 다행입니다. 다양한 메뉴로 두 분 모두 만족하실 수 있도록 노력하겠습니다.
154	다 좋은데, 위치가 좀 애매해서 찾기 어려웠어요.	위치에 대한 불편함을 드려 죄송합니다. 찾아오시는 길 안내를 더 잘 해드리겠습니다.
155	이 가격에 이런 퀄리티라니! 비밀스러운 맛집 찾은 기분이에요.	좋은 평가 감사합니다! 앞으로도 기대에 부응하는 맛과 서비스로 보답하겠습니다.
156	주차공간이 없어서 불편했어요. 차 타고 오시는 분들은 참고하세요.	주차 공간 문제로 불편을 드린 점 죄송합니다. 주차 관련 정보를 더욱 명확하게 안내하겠습니다.
157	이런 곳이 우리 동네에 있었던 것을 이제야 알았다니, 놀라워요!	놀라웠다는 말씀 감사합니다! 앞으로도 계속해서 좋은 음식과 서비스로 보답하겠습니다.
158	직원분이 주문을 잘못 받아와서 조금 불편했습니다.	주문 실수로 불편을 드린 점 죄송합니다. 앞으로 주문 확인을 더 철저히 하겠습니다.
159	떡볶이는 달고, 튀김은 기름져서 다시 오진 않을 것 같아요.	떡볶이와 튀김에 대한 피드백 감사합니다. 맛과 퀄리티 개선에 노력하겠습니다.
160	친구들과 와서 실망했네요. 다신 오지 않을 것 같아요.	이번 경험이 좋지 않았다면 정말 죄송합니다. 문제점들을 개선하여 다음 방문에는 만족하실 수 있도록 노력하겠습니다.
161	가족 모임 장소로 딱 좋아요. 모두 만족했습니다.	가족 모임에 좋은 추억을 만들어 드릴 수 있어서 기쁩니다. 감사합니다.
162	여기 직원분들이 좀 불친절하시던데요? 🤨	직원 태도에 대한 불편함을 드린 점 죄송합니다. 교육을 통해 서비스 향상에 노력하겠습니다.
163	이렇게 맛있는 곳이 내 동네에 있었다니! 자주 올게요!	감사합니다! 앞으로도 좋은 맛과 서비스로 보답하겠습니다.
164	어릴 땐 여기 자주 왔는데, 맛이 변한 것 같아 아쉽네요.	옛날의 맛을 유지하려 노력하고 있습니다. 피드백 감사합니다.
165	헉, 먹어본 스테이크 중에서 탑3 안에 드는 거 같아용! 👍	스테이크에 만족하셨다니 기쁩니다! 앞으로도 좋은 맛 유지하겠습니다.
